HomeTeam,AwayTeam,FTR,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR,AvgH,AvgD,AvgA,AvgMORE25,AvgCLESS25
Maidstone,Chesterfield,D,1,1,0,0,0,0,0,0,0,2,0,0,3.2,3.2,2.3,2.14,1.66
Wrexham,Barnet,H,1,0,0,0,0,0,0,0,1,0,0,0,2.3,3.4,3.0,2.26,1.59
Aldershot,Halifax,H,3,0,0,0,0,0,0,0,1,3,0,0,2.1,3.5,3.3,2.02,1.74
Barnet,Solihull,H,2,0,0,0,0,0,0,0,1,0,0,0,2.04,3.5,3.4,2.05,1.72
Barrow,Sutton,H,2,1,0,0,0,0,0,0,2,4,0,0,2.9,3.5,2.3,2.02,1.74
Braintree Town,Eastleigh,A,1,2,0,0,0,0,0,0,3,0,0,0,3.8,3.6,1.9,2.04,1.72
Chesterfield,Fylde,D,0,0,0,0,0,0,0,0,0,0,0,0,3.0,3.3,2.37,2.02,1.74
Dover Athletic,Salford,A,1,4,0,0,0,0,0,0,1,0,0,0,4.75,3.75,1.7,1.86,1.88
Ebbsfleet,Harrogate,A,0,2,0,0,0,0,0,0,3,2,0,0,2.3,3.5,2.9,1.9,1.84
Gateshead,Dag and Red,H,2,0,0,0,0,0,0,0,1,1,0,0,1.72,3.75,4.5,1.95,1.79
Hartlepool,Boreham Wood,H,2,0,0,0,0,0,0,0,3,0,0,0,2.3,3.2,3.1,2.15,1.64
Maidenhead,Leyton Orient,A,0,2,0,0,0,0,0,0,1,1,0,0,3.5,3.6,2.0,1.8,1.94
Maidstone,Bromley,A,0,1,0,0,0,0,0,0,5,2,0,0,2.5,3.4,2.7,1.97,1.78
Wrexham,Havant & Waterlooville,H,1,0,0,0,0,0,0,0,1,1,0,0,1.75,3.75,4.33,2.01,1.76
Boreham Wood,Maidenhead,H,3,1,0,0,0,0,0,0,0,2,0,0,1.8,3.5,4.5,1.98,1.77
Bromley,Barrow,H,2,1,0,0,0,0,0,0,0,1,0,0,2.0,3.5,3.6,1.89,1.84
Dag and Red,Wrexham,A,1,2,0,0,0,0,0,0,0,0,0,0,4.0,3.6,1.85,2.15,1.65
Eastleigh,Aldershot,A,1,2,0,0,0,0,0,0,0,0,0,0,2.2,3.5,3.1,2.11,1.67
Fylde,Maidstone,H,2,0,0,0,0,0,0,0,1,2,0,0,1.4,4.2,7.5,1.81,1.93
Halifax,Chesterfield,D,1,1,0,0,0,0,0,0,1,1,0,0,3.0,3.25,2.37,2.14,1.65
Harrogate,Dover Athletic,D,2,2,0,0,0,0,0,0,2,3,0,1,1.53,4.2,5.75,1.65,2.14
Havant & Waterlooville,Gateshead,A,0,1,0,0,0,0,0,0,0,1,0,0,3.1,3.4,2.25,2.0,1.76
Leyton Orient,Hartlepool,D,0,0,0,0,0,0,0,0,3,4,1,0,1.72,3.8,4.5,1.94,1.8
Salford,Braintree Town,D,2,2,0,0,0,0,0,0,0,1,0,0,1.22,6.5,11.0,1.56,2.32
Solihull,Ebbsfleet,H,2,1,0,0,0,0,0,0,3,4,0,0,2.2,3.5,3.1,2.0,1.75
Barrow,Barnet,A,0,2,0,0,0,0,0,0,1,1,0,0,2.87,3.25,2.45,2.08,1.69
Boreham Wood,Bromley,H,2,1,0,0,0,0,0,0,0,1,0,0,1.95,3.4,3.8,1.89,1.84
Braintree Town,Dover Athletic,H,2,1,0,0,0,0,0,0,1,0,0,0,2.8,3.3,2.5,1.86,1.88
Chesterfield,Wrexham,D,1,1,0,0,0,0,0,0,4,3,0,0,2.5,3.3,2.75,2.25,1.59
Dag and Red,Harrogate,H,2,1,0,0,0,0,0,0,4,0,0,0,4.0,3.6,1.85,1.82,1.92
Gateshead,Aldershot,H,3,0,0,0,0,0,0,0,0,0,0,0,2.04,3.4,3.5,2.1,1.68
