HomeTeam,AwayTeam,FTR,AvgH,AvgD,AvgA,AvgMORE25,AvgCLESS25,FTHG,FTAG,HomeGoalsScoredHome,HomeGoalsConcededHome,AwayGoalsScoredAway,AwayGoalsConcededAway,APHH,APHA,APAH,APAA
Real Madrid,Eibar,H,1.09,11.0,23.0,1.21,4.16,3,0,5,4,2,12,1.25,3.0,1.0,0.75
Villarreal,Las Palmas,H,1.5,4.2,7.0,1.69,2.15,4,0,6,1,3,6,2.3333333333333335,1.2,0.75,0.75
La Coruna,Girona,A,2.04,3.29,3.79,2.0,1.8,1,2,5,8,3,5,1.5,0.5,0.8,0.6666666666666666
Sociedad,Espanol,D,1.85,3.79,4.0,1.78,2.01,1,1,10,10,1,8,1.0,2.25,1.75,0.5
Alaves,Valencia,A,6.0,3.75,1.6,1.83,1.97,1,2,1,9,12,8,0.0,0.6,2.6,2.0
Ath Bilbao,Barcelona,A,7.0,4.5,1.44,1.57,2.36,0,2,4,2,8,2,1.75,0.8,3.0,2.5
Ath Madrid,Villarreal,D,1.5,4.0,7.5,1.95,1.85,1,1,4,1,5,9,2.3333333333333335,2.2,2.5,1.2
Sevilla,Leganes,H,1.61,3.75,6.0,2.0,1.8,2,1,7,1,5,1,2.5,1.2,1.6,2.25
Eibar,Levante,D,1.95,3.39,4.2,2.18,1.66,2,2,1,5,1,5,1.0,0.6,1.2,0.6666666666666666
Getafe,Sociedad,H,2.45,3.39,2.87,1.96,1.84,2,1,6,5,9,7,0.75,1.2,1.0,2.25
Girona,Real Madrid,H,10.0,6.5,1.25,1.35,3.06,2,1,4,8,10,3,0.8,1.25,1.6,3.0
Malaga,Celta,H,3.1,3.39,2.29,1.82,1.97,2,1,4,9,11,6,0.25,0.0,1.0,1.5
Espanol,Betis,H,2.14,3.39,3.39,1.86,1.93,1,0,6,3,6,9,1.75,0.6,2.4,1.0
Las Palmas,La Coruna,A,2.04,3.5,3.6,1.7,2.13,1,3,4,12,4,8,0.75,0.6,1.2,0.5
Betis,Getafe,D,2.0,3.5,3.79,1.81,1.99,2,2,13,8,5,5,2.4,0.8,1.2,1.2
Alaves,Espanol,H,2.87,3.1,2.7,2.45,1.54,1,0,2,11,2,9,0.0,0.6,2.0,0.6
Barcelona,Sevilla,H,1.19,7.5,12.0,1.29,3.5,2,1,18,1,2,7,3.0,2.6,2.6,1.2
La Coruna,Ath Madrid,A,4.75,3.6,1.8,2.04,1.77,0,1,6,10,8,2,1.2,1.0,2.0,2.2
Valencia,Leganes,H,1.5,4.33,6.5,1.89,1.91,3,0,13,2,6,3,2.6,2.2,1.6,1.8
Celta,Ath Bilbao,H,2.1,3.5,3.5,1.93,1.86,3,1,7,8,6,8,1.0,1.2,1.4,0.8
Levante,Girona,A,2.39,3.29,3.0,2.11,1.72,1,2,7,6,5,6,1.2,0.75,1.2,1.25
Real Madrid,Las Palmas,H,1.08,13.0,19.0,1.12,5.97,3,0,8,4,3,10,1.6,2.4,0.6,0.6
Sociedad,Eibar,H,1.61,4.0,5.5,1.74,2.07,3,1,11,11,2,15,1.0,1.8,1.0,0.6
Villarreal,Malaga,H,1.53,4.33,6.0,1.74,2.07,2,0,10,1,0,11,2.5,1.4,0.8,0.0
Girona,Sociedad,D,2.89,3.5,2.37,1.76,2.06,1,1,4,7,10,9,1.2,1.6,1.0,1.8
Ath Madrid,Real Madrid,D,3.2,3.39,2.25,1.88,1.92,0,0,5,2,11,5,2.0,2.2,2.0,2.4
Getafe,Alaves,H,1.8,3.5,4.75,2.34,1.59,4,1,8,6,2,5,1.2,1.2,0.6,0.6
Leganes,Barcelona,A,9.5,5.25,1.33,1.64,2.23,0,3,3,2,10,2,1.6,1.2,3.0,2.6
Sevilla,Celta,H,1.72,3.79,4.75,1.59,2.29,2,1,9,2,12,8,2.6,0.6,1.6,1.2
Ath Bilbao,Villarreal,D,2.25,3.29,3.29,2.07,1.74,1,1,4,4,6,9,1.4,0.2,2.6,1.4
Espanol,Valencia,A,3.2,3.29,2.29,1.84,1.95,0,2,7,3,14,9,2.0,0.4,2.6,2.2
Las Palmas,Levante,A,1.95,3.5,4.0,1.82,1.98,0,2,5,15,3,7,0.6,0.6,1.0,0.75
Malaga,La Coruna,H,2.37,3.29,3.1,1.95,1.85,3,2,6,10,7,9,0.8,0.0,1.2,1.0
Eibar,Betis,H,2.39,3.29,3.0,1.86,1.92,5,0,3,7,6,10,1.0,0.0,2.0,0.8
Celta,Leganes,H,1.95,3.25,4.33,2.09,1.74,1,0,8,6,5,6,1.6,1.2,1.0,1.2
Alaves,Eibar,A,2.5,3.1,3.1,2.47,1.53,1,2,3,9,2,18,0.6,0.6,1.6,0.0
Betis,Girona,D,2.0,3.6,3.75,1.7,2.14,2,2,13,9,7,7,2.0,0.8,0.8,1.6
Levante,Ath Madrid,A,7.5,3.75,1.53,2.33,1.6,0,5,6,6,4,1,1.0,1.2,1.8,2.2
Real Madrid,Malaga,H,1.08,13.0,21.0,1.18,4.65,3,2,9,2,0,12,2.0,2.0,1.4,0.0
La Coruna,Ath Bilbao,D,2.75,3.29,2.6,1.99,1.81,2,2,6,8,6,11,1.2,0.8,1.4,0.2
Sociedad,Las Palmas,D,1.44,4.75,7.0,1.44,2.68,2,2,11,12,3,12,1.0,1.4,0.6,0.6
Valencia,Barcelona,D,4.0,3.89,1.85,1.42,2.76,1,1,15,2,11,2,2.6,2.6,3.0,2.6
Villarreal,Sevilla,A,2.37,3.39,3.0,1.85,1.95,2,3,12,1,2,9,2.6,1.6,3.0,0.6
Espanol,Getafe,H,2.0,3.39,3.79,2.28,1.61,1,0,7,4,7,7,2.0,0.4,1.8,1.2
Malaga,Levante,D,1.72,3.79,4.75,1.93,1.86,0,0,9,11,5,7,1.4,0.0,0.8,1.2
Ath Bilbao,Real Madrid,D,7.5,4.5,1.44,1.5,2.54,0,0,5,5,8,5,1.4,0.4,2.4,2.0
Ath Madrid,Sociedad,H,1.5,3.89,7.5,1.91,1.9,2,1,5,2,8,8,1.8,2.6,1.2,1.4
Barcelona,Celta,D,1.12,10.0,17.0,1.22,4.07,2,2,18,2,12,8,3.0,2.2,1.6,1.2
Sevilla,La Coruna,H,1.44,4.5,7.5,1.52,2.48,2,0,10,2,7,10,3.0,0.6,1.4,0.8
Eibar,Espanol,H,2.37,3.1,3.29,2.31,1.6,3,1,8,6,1,9,1.6,0.6,2.0,0.4
Getafe,Valencia,H,3.0,3.39,2.29,1.79,2.03,1,0,12,6,14,7,1.8,0.6,2.6,2.6
Las Palmas,Betis,H,2.2,3.5,3.1,1.57,2.36,1,0,4,12,6,13,0.6,0.2,1.6,0.8
