HomeTeam,AwayTeam,FTR,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR,AvgH,AvgD,AvgA,AvgMORE25,AvgCLESS25
Blackpool,Wigan,A,1,3,4,13,1,5,5,5,1,4,0,0,4.2,3.75,1.9,1.92,1.85
Bradford,Charlton,A,0,1,15,14,4,5,7,6,3,1,0,0,2.29,3.6,3.2,1.7,2.1
Doncaster,Walsall,A,0,3,16,7,4,3,4,0,1,2,0,0,1.9,3.6,4.5,1.99,1.79
Gillingham,Northampton,A,1,2,13,14,2,5,8,6,1,3,0,0,2.6,3.6,2.75,1.87,1.9
Milton Keynes Dons,Oldham,D,4,4,16,10,8,6,2,2,3,3,0,0,2.29,3.5,3.25,1.92,1.86
Oxford,Rotherham,D,3,3,18,10,9,4,6,1,2,2,0,0,2.79,3.5,2.6,1.76,2.03
Rochdale,Bristol Rvs,H,1,0,9,14,2,5,6,4,0,2,0,0,2.37,3.7,3.0,1.69,2.11
Scunthorpe,Peterboro,H,2,1,17,8,4,3,10,5,3,2,0,0,2.29,3.75,3.1,1.67,2.13
Shrewsbury,Fleetwood Town,H,1,0,12,1,7,0,6,2,0,2,0,0,2.1,3.6,3.75,2.1,1.69
Southend,Bury,H,1,0,12,11,3,6,13,9,0,0,0,0,2.1,3.6,3.7,1.71,2.08
Oldham,Bury,H,2,1,19,17,8,6,5,5,1,1,0,0,2.25,3.5,3.39,1.8,1.98
Bristol Rvs,Milton Keynes Dons,H,2,0,18,8,7,1,7,4,0,1,0,0,2.0,3.7,3.89,1.72,2.07
Bury,Doncaster,A,0,1,9,13,2,3,3,6,1,1,1,0,2.89,3.5,2.54,1.97,1.81
Charlton,AFC Wimbledon,H,1,0,6,7,1,0,4,6,2,4,0,0,1.95,3.6,4.2,2.1,1.7
Fleetwood Town,Oxford,H,2,0,12,4,4,2,5,3,0,0,0,0,2.7,3.39,2.75,2.04,1.75
Northampton,Blackpool,H,1,0,7,7,2,1,4,4,2,2,0,0,2.95,3.5,2.5,1.97,1.81
Oldham,Scunthorpe,A,2,3,17,14,5,6,9,2,1,2,0,0,2.75,3.39,2.7,2.05,1.74
Peterboro,Shrewsbury,H,1,0,12,11,6,4,3,10,4,4,0,0,2.39,3.6,3.0,1.76,2.03
Plymouth,Rochdale,D,1,1,7,12,4,3,5,4,0,2,0,0,3.6,3.5,2.14,1.99,1.77
Portsmouth,Bradford,A,0,1,17,6,3,2,7,5,2,1,0,0,2.25,3.39,3.5,2.1,1.7
Rotherham,Gillingham,A,1,3,9,6,7,4,5,3,1,1,1,0,1.53,4.5,6.5,1.58,2.32
Walsall,Southend,A,0,1,14,10,5,3,3,5,4,1,0,0,2.39,3.5,3.1,1.86,1.92
Wigan,Blackburn,D,0,0,13,5,2,1,8,2,0,3,0,1,1.85,3.6,4.75,2.07,1.72
Blackburn,Fleetwood Town,D,2,2,12,11,4,7,11,7,2,1,0,0,1.8,3.6,5.25,2.06,1.73
Blackpool,Portsmouth,A,2,3,9,13,1,5,5,6,0,1,0,0,3.1,3.5,2.37,2.03,1.76
Bradford,Plymouth,A,0,1,19,6,5,2,9,1,0,4,0,0,1.6,4.33,6.0,1.73,2.07
Doncaster,Rotherham,D,1,1,6,12,1,2,5,5,1,1,0,0,2.29,3.6,3.25,1.85,1.93
