HomeTeam,AwayTeam,FTR,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR,AvgH,AvgD,AvgA,AvgMORE25,AvgCLESS25
Berwick,Peterhead,A,1,3,4.0,13.0,1.0,8.0,4.0,4.0,2,0,0,0,6.0,4.33,1.5,1.57,2.28
Cowdenbeath,Clyde,H,1,0,8.0,11.0,4.0,5.0,1.0,7.0,2,5,0,0,4.33,3.5,1.83,1.88,1.84
Edinburgh City,Stenhousemuir,A,1,4,8.0,9.0,3.0,4.0,2.0,2.0,0,2,0,0,3.89,3.5,1.9,1.83,1.9
Stirling,Montrose,A,0,5,5.0,10.0,1.0,7.0,3.0,4.0,4,3,1,0,2.89,3.6,2.25,1.77,1.97
Cowdenbeath,Montrose,A,0,3,4.0,9.0,1.0,5.0,2.0,9.0,2,2,0,0,4.0,3.5,1.9,1.98,1.77
Clyde,Stirling,H,2,1,7.0,7.0,3.0,2.0,1.0,1.0,1,2,0,0,2.39,3.5,2.79,1.71,2.04
Elgin,Edinburgh City,D,1,1,13.0,8.0,4.0,2.0,10.0,5.0,2,2,0,0,1.83,3.75,4.0,1.67,2.1
Montrose,Berwick,H,1,0,10.0,1.0,2.0,1.0,8.0,1.0,1,3,0,0,1.5,4.33,6.0,1.61,2.19
Peterhead,Cowdenbeath,H,1,0,17.0,8.0,7.0,4.0,8.0,3.0,2,6,0,0,1.3,5.75,8.0,1.44,2.61
Stenhousemuir,Annan Athletic,H,3,2,15.0,12.0,6.0,5.0,9.0,2.0,2,1,0,0,1.85,3.79,3.79,1.69,2.08
Berwick,Stenhousemuir,D,0,0,6.0,14.0,4.0,4.0,2.0,6.0,2,0,0,0,4.5,3.79,1.72,1.75,2.0
Annan Athletic,Stirling,H,3,1,9.0,17.0,5.0,4.0,4.0,4.0,2,1,0,0,2.5,3.5,2.62,1.69,2.08
Berwick,Cowdenbeath,H,1,0,5.0,6.0,3.0,2.0,5.0,2.0,0,1,0,0,2.14,3.39,3.29,1.93,1.81
Edinburgh City,Clyde,A,1,3,7.0,12.0,3.0,6.0,6.0,9.0,5,0,0,0,3.39,3.5,2.04,1.77,1.96
Elgin,Peterhead,A,0,1,11.0,9.0,5.0,4.0,5.0,3.0,1,3,0,0,4.75,4.0,1.66,1.53,2.36
Stenhousemuir,Montrose,A,0,2,8.0,7.0,0.0,3.0,6.0,4.0,1,1,0,0,2.37,3.5,2.79,1.84,1.89
Berwick,Stenhousemuir,D,2,2,7.0,18.0,2.0,6.0,0.0,13.0,2,0,0,0,5.75,4.0,1.55,1.71,2.04
Clyde,Berwick,A,1,2,16.0,6.0,4.0,3.0,9.0,4.0,1,2,0,1,1.44,4.75,6.5,1.46,2.54
Cowdenbeath,Annan Athletic,A,0,2,7.0,9.0,5.0,4.0,2.0,2.0,2,0,0,1,3.39,4.0,1.9,1.71,2.05
